LAD20CD,DateRange,age,value
S12000005,1999,1,21.26
S12000005,2000,1,20.93
S12000005,2001,1,20.47
S12000005,2002,1,18.93
S12000005,2003,1,18.43
S12000005,2004,1,15.7
S12000005,2005,1,17.49
S12000005,2006,1,18.34
S12000005,2007,1,20.22
S12000005,2008,1,18.76
S12000005,2009,1,16.46
S12000005,2010,1,15.24
S12000005,2011,1,15.36
S12000005,2012,1,15.03
S12000005,2013,1,12.99
S12000005,2014,0,12.16
S12000005,2015,0,13.51
S12000005,2016,0,12.41
S12000006,1999,1,21.15
S12000006,2000,1,19.75
S12000006,2001,1,18.22
S12000006,2002,1,16.84
S12000006,2003,1,18.01
S12000006,2004,1,18.19
S12000006,2005,1,18.15
S12000006,2006,1,18.02
S12000006,2007,1,17.24
S12000006,2008,1,16.75
S12000006,2009,1,14.08
S12000006,2010,1,13.9
S12000006,2011,1,12.9
S12000006,2012,1,13.46
S12000006,2013,1,11.47
S12000006,2014,1,11.39
S12000006,2015,1,9.64
S12000006,2016,0,9.47
S12000008,1999,1,21.73
S12000008,2000,1,20.52
S12000008,2001,1,19.02
S12000008,2002,1,19.12
S12000008,2003,1,18.87
S12000008,2004,1,19.14
S12000008,2005,1,19.1
S12000008,2006,1,17.68
S12000008,2007,1,17.44
S12000008,2008,1,16.09
S12000008,2009,1,15.91
S12000008,2010,1,14.67
S12000008,2011,1,13.31
S12000008,2012,1,11.88
S12000008,2013,0,10.78
S12000008,2014,0,10.84
S12000008,2015,0,10.02
S12000008,2016,0,9.95
S12000010,1999,1,14.26
S12000010,2000,1,13.64
S12000010,2001,0,14.39
S12000010,2002,0,16.79
S12000010,2003,0,18.21
S12000010,2004,0,18.38
S12000010,2005,0,18.85
S12000010,2006,0,18.06
S12000010,2007,0,19.17
S12000010,2008,0,17.83
S12000010,2009,0,17.21
S12000010,2010,0,14.19
S12000010,2011,0,13.26
S12000010,2012,0,13.05
S12000010,2013,0,13.76
S12000010,2014,0,16.78
S12000010,2015,0,17.79
S12000010,2016,0,16.78
S12000011,1999,0,14.21
