LAD20CD,DateRange,Low_Weight_Births
S12000005,2000,2.48
S12000005,2001,3.03
S12000005,2002,3.16
S12000005,2003,3.5
S12000005,2004,3.28
S12000005,2005,3.01
S12000005,2006,3.21
S12000005,2007,3.07
S12000005,2008,3.03
S12000005,2009,2.14
S12000005,2010,2.13
S12000005,2011,2.55
S12000005,2012,2.83
S12000005,2013,3.03
S12000005,2014,2.55
S12000005,2015,2.99
S12000005,2016,3.1
S12000005,2017,2.77
S12000006,2000,1.98
S12000006,2001,2.03
S12000006,2002,2.01
S12000006,2003,1.88
S12000006,2004,2.14
S12000006,2005,2.06
S12000006,2006,1.86
S12000006,2007,1.58
S12000006,2008,1.39
S12000006,2009,1.56
S12000006,2010,1.61
S12000006,2011,1.68
S12000006,2012,1.73
S12000006,2013,1.9
S12000006,2014,1.9
S12000006,2015,2.07
S12000006,2016,2.23
S12000006,2017,2.41
S12000008,2000,2.4
S12000008,2001,2.06
S12000008,2002,2.25
S12000008,2003,1.95
S12000008,2004,1.91
S12000008,2005,2.01
S12000008,2006,2.1
S12000008,2007,2.2
S12000008,2008,2.08
S12000008,2009,2.21
S12000008,2010,2.23
S12000008,2011,2.21
S12000008,2012,2.03
S12000008,2013,1.67
S12000008,2014,1.52
S12000008,2015,1.8
S12000008,2016,2.02
S12000008,2017,2.36
S12000010,2000,1.91
S12000010,2001,1.97
S12000010,2002,1.83
S12000010,2003,1.89
S12000010,2004,2.14
S12000010,2005,2
S12000010,2006,2.14
S12000010,2007,1.74
S12000010,2008,1.89
S12000010,2009,1.66
S12000010,2010,1.76
S12000010,2011,1.69
S12000010,2012,1.73
S12000010,2013,1.43
S12000010,2014,1.66
S12000010,2015,1.43
S12000010,2016,1.66
S12000010,2017,1.7
S12000011,2000,1.7
S12000011,2001,1.75
S12000011,2002,1.92
S12000011,2003,1.78
S12000011,2004,2.03
S12000011,2005,2.4
S12000011,2006,2.73
S12000011,2007,2.33
S12000011,2008,1.94
S12000011,2009,1.36
S12000011,2010,1.25
