objectid,lad15cd,lad15nm,lad15nmw,st_areashape,st_lengthshape
1,E06000001,Hartlepool, ,93575324.32,71948.3705949656
2,E06000002,Middlesbrough, ,53888576.64946,43840.9783471987
3,E06000003,Redcar and Cleveland, ,244815699.22179,97702.559334242
4,E06000004,Stockton-on-Tees, ,204960227.132215,119661.530406572
5,E06000005,Darlington, ,197475681.775,107206.323036395
6,E06000006,Halton, ,79084024.69,77770.9908601261
7,E06000007,Warrington, ,180627993.12195,114690.635098234
8,E06000008,Blackburn with Darwen, ,137022088.1775,65284.9582005062
9,E06000009,Blackpool, ,34851505.877995,34940.0069109031
10,E06000010,"Kingston upon Hull, City of", ,71449812.17,64387.3198994061
11,E06000011,East Riding of Yorkshire, ,2406485869.77869,505224.96014429
12,E06000012,North East Lincolnshire, ,191863784.272875,86544.3161388186
13,E06000013,North Lincolnshire, ,846296585.34651,241106.66251668
14,E06000014,York, ,271936976.745,101957.499149186
15,E06000015,Derby, ,78031127.72,50037.5701103995
16,E06000016,Leicester, ,73342067.35,51931.6946815316
17,E06000017,Rutland, ,393748897.03004,125884.913942259
18,E06000018,Nottingham, ,74613559.1325,58724.0800630327
19,E06000019,"Herefordshire, County of", ,2179711858.08,349871.515609609
20,E06000020,Telford and Wrekin, ,290313554.3625,118779.540778159
21,E06000021,Stoke-on-Trent, ,93448489.535,63974.3855336143
22,E06000022,Bath and North East Somerset, ,351123212.2725,141684.746903209
23,E06000023,"Bristol, City of", ,109609739.19739,109411.754017312
24,E06000024,North Somerset, ,374675898.73568,153608.903789592
25,E06000025,South Gloucestershire, ,496949220.62173,143018.170417863
26,E06000026,Plymouth, ,79837267.2775403,92448.7367892009
27,E06000027,Torbay, ,62894047.0094762,78660.3197728841
28,E06000028,Bournemouth, ,46178519.51,48385.8345768306
29,E06000029,Poole, ,64766787.3125,73756.8404302852
30,E06000030,Swindon, ,230093378.7525,103014.61381403
31,E06000031,Peterborough, ,343378172.64179,112678.013613404
32,E06000032,Luton, ,43352497.4575,34569.5925471165
33,E06000033,Southend-on-Sea, ,41755608.745,43367.3386695971
34,E06000034,Thurrock, ,163493475.37921,94113.5405489198
35,E06000035,Medway, ,193540415.022195,189674.236677273
36,E06000036,Bracknell Forest, ,109384212.67,62507.9431456698
37,E06000037,West Berkshire, ,704169412.1325,166801.44797985
38,E06000038,Reading, ,40397992.9625,39330.6800071721
39,E06000039,Slough, ,32542002.985,44181.3363669089
40,E06000040,Windsor and Maidenhead, ,198427165.985,114829.104150539
41,E06000041,Wokingham, ,178965488.5525,86865.62991015
42,E06000042,Milton Keynes, ,308626797.6075,102960.295183631
43,E06000043,Brighton and Hove, ,82667710.45,60561.3209076921
44,E06000044,Portsmouth, ,40400678.8749216,60276.564976803
45,E06000045,Southampton, ,49895097.1257196,59166.9558209403
46,E06000046,Isle of Wight, ,380161418.385355,192380.951207995
47,E06000047,County Durham, ,2231542413.17331,315237.621554137
48,E06000049,Cheshire East, ,1166357384.9,301224.611495311
49,E06000050,Cheshire West and Chester, ,916700543.72152,307826.996196532
50,E06000051,Shropshire, ,3197275387.94624,580649.587697363
51,E06000052,Cornwall, ,3549696231.78887,1196035.72355367
52,E06000053,Isles of Scilly, ,16374653.181696,116109.745422606
53,E06000054,Wiltshire, ,3255338106.12749,402006.220289142
54,E06000055,Bedford, ,476408292.465,131721.097357065
55,E06000056,Central Bedfordshire, ,715665300.98,232692.253748812
56,E06000057,Northumberland, ,5026081105.30866,578051.286232987
57,E07000004,Aylesbury Vale, ,902753219.485,243091.406290579
58,E07000005,Chiltern, ,196348226.455,87262.3577834596
59,E07000006,South Bucks, ,141275614.71,85473.7299848037
60,E07000007,Wycombe, ,324572086.0225,113201.494934449
61,E07000008,Cambridge, ,40698795.12,37170.4274584159
62,E07000009,East Cambridgeshire, ,651281495.922805,234028.318113426
63,E07000010,Fenland, ,546450046.24206,187881.749425898
64,E07000011,Huntingdonshire, ,912467462.8375,223742.329792311
65,E07000012,South Cambridgeshire, ,901627270.4075,257043.066674352
66,E07000026,Allerdale, ,1257798289.69184,332763.20974219
67,E07000027,Barrow-in-Furness, ,77975485.706295,120466.98549673
68,E07000028,Carlisle, ,1039297852.30676,274824.939387579
69,E07000029,Copeland, ,737613564.18264,233223.149913966
70,E07000030,Eden, ,2156474484.4475,268724.845421742
71,E07000031,South Lakeland, ,1553032004.24708,384090.978111118
72,E07000032,Amber Valley, ,265437866.2525,109036.228206665
73,E07000033,Bolsover, ,160334645.095,96238.990838166
74,E07000034,Chesterfield, ,66035290.835,52617.6305014485
75,E07000035,Derbyshire Dales, ,795318052.22955,245475.219577343
76,E07000036,Erewash, ,109630038.665,73547.4605641554
77,E07000037,High Peak, ,540253991.07,159632.647008495
78,E07000038,North East Derbyshire, ,275623523.712845,161243.505971196
79,E07000039,South Derbyshire, ,338128973.3825,166772.309187762
80,E07000040,East Devon, ,814366807.607345,218241.495377246
81,E07000041,Exeter, ,47042956.56,47533.9952492428
82,E07000042,Mid Devon, ,912897724.3975,246408.449338575
83,E07000043,North Devon, ,1086031779.33723,305485.888087788
84,E07000044,South Hams, ,886494447.848375,463583.400667896
85,E07000045,Teignbridge, ,673862462.437075,189696.409818501
86,E07000046,Torridge, ,985344618.68198,313592.794792185
87,E07000047,West Devon, ,1161094508.195,246745.524389846
88,E07000048,Christchurch, ,50388986.64999,63050.4284019363
89,E07000049,East Dorset, ,354417943.5875,138644.540320732
90,E07000050,North Dorset, ,609217932.105,158747.079472424
91,E07000051,Purbeck, ,404412358.030625,218719.622162483
92,E07000052,West Dorset, ,1081483221.8626,286408.703082503
93,E07000053,Weymouth and Portland, ,41777988.61878,72412.403614157
94,E07000061,Eastbourne, ,44159454.521185,35287.0457497282
95,E07000062,Hastings, ,29724295.25001,33473.4955765913
96,E07000063,Lewes, ,292064235.71115,167744.772652823
97,E07000064,Rother, ,511745169.227405,177389.646564331
98,E07000065,Wealden, ,834998447.11929,225321.780425216
99,E07000066,Basildon, ,110025283.4075,72080.9192485059
100,E07000067,Braintree, ,611707979.2825,168686.364636577
101,E07000068,Brentwood, ,153124061.5875,72339.2527007151
102,E07000069,Castle Point, ,45068326.03761,67976.3395957889
103,E07000070,Chelmsford, ,342245990.953445,124660.291497692
104,E07000071,Colchester, ,333181782.28429,205163.326975192
105,E07000072,Epping Forest, ,338984119.7325,123273.220951124
106,E07000073,Harlow, ,30537916.6925,28515.4077513019
107,E07000074,Maldon, ,358796559.01129,284865.122305392
108,E07000075,Rochford, ,169499042.524175,178713.259921604
109,E07000076,Tendring, ,337736709.329565,227452.999781293
110,E07000077,Uttlesford, ,641182807.5325,166508.37500919
111,E07000078,Cheltenham, ,46596067.455,38230.9288836882
112,E07000079,Cotswold, ,1164524424.3675,332444.425250748
113,E07000080,Forest of Dean, ,526291025.0249,188624.310817139
114,E07000081,Gloucester, ,40553091.1242254,33539.7040050644
115,E07000082,Stroud, ,460650090.433475,172423.21981188
116,E07000083,Tewkesbury, ,414414308.34358,204835.303507801
117,E07000084,Basingstoke and Deane, ,633817164.31,143437.045170566
118,E07000085,East Hampshire, ,514432076.495,144540.524155375
119,E07000086,Eastleigh, ,79766667.125,74041.0655552862
120,E07000087,Fareham, ,74238810.7822606,65022.5869245291
121,E07000088,Gosport, ,25325382.3524314,38482.8104433318
122,E07000089,Hart, ,215265089.4625,77847.6856785001
123,E07000090,Havant, ,55370211.707795,95204.1205229238
124,E07000091,New Forest, ,753095342.577768,262931.411545233
125,E07000092,Rushmoor, ,39045034.665,31893.0439304734
126,E07000093,Test Valley, ,627590315.5725,189027.300159027
127,E07000094,Winchester, ,660974530.275,172255.337514562
128,E07000095,Broxbourne, ,51435466.3825,38994.8981751237
129,E07000096,Dacorum, ,212476394.7875,110103.624656547
130,E07000098,Hertsmere, ,101155407.465,61076.7438215804
131,E07000099,North Hertfordshire, ,375375760.855,168236.173836686
132,E07000102,Three Rivers, ,88817827.455,73993.8914349364
133,E07000103,Watford, ,21424967.8625,26275.3221247325
134,E07000105,Ashford, ,580617302.1625,149446.267199247
135,E07000106,Canterbury, ,308883619.87871,131968.902803072
136,E07000107,Dartford, ,72764009.69314,56215.5675819906
137,E07000108,Dover, ,315055190.919225,139104.39731279
138,E07000109,Gravesham, ,99020167.45,60505.313416167
139,E07000110,Maidstone, ,393332643.68,122946.365046501
140,E07000111,Sevenoaks, ,370346888.0225,134435.375131375
141,E07000112,Shepway, ,356697605.10929,147730.690015825
142,E07000113,Swale, ,374466770.868395,252594.359328579
143,E07000114,Thanet, ,103338979.800665,56839.1092575601
144,E07000115,Tonbridge and Malling, ,240125409.41539,133528.390185744
145,E07000116,Tunbridge Wells, ,331328861.3075,150590.123674893
146,E07000117,Burnley, ,110683996.5675,57764.4547216194
147,E07000118,Chorley, ,202796542.309425,102881.14983988
148,E07000119,Fylde, ,165710730.623925,100344.658216044
149,E07000120,Hyndburn, ,72997471.525,42655.5074152063
150,E07000121,Lancaster, ,575851890.72713,308415.928331817
151,E07000122,Pendle, ,169380091.3475,79243.6022575423
152,E07000123,Preston, ,142293634.6475,79082.4077953877
153,E07000124,Ribble Valley, ,584471486.8275,150499.887736922
154,E07000125,Rossendale, ,138040899.935,71149.592236794
155,E07000126,South Ribble, ,112955571.6125,94374.6786016226
156,E07000127,West Lancashire, ,346783953.168483,156000.532308662
157,E07000128,Wyre, ,282562250.884715,178794.016014977
158,E07000129,Blaby, ,130468685.71,100819.772495361
159,E07000130,Charnwood, ,279042275.4825,115474.245485629
160,E07000131,Harborough, ,592692046.219105,185950.630234102
161,E07000132,Hinckley and Bosworth, ,297349263.985,111596.085677839
162,E07000133,Melton, ,481380513.95,140629.311826859
163,E07000134,North West Leicestershire, ,279328084.815,116453.049009799
164,E07000135,Oadby and Wigston, ,23526094.4075,31171.6830932662
165,E07000136,Boston, ,364889921.257955,156195.8994604
166,E07000137,East Lindsey, ,1765004484.67167,316614.921691274
167,E07000138,Lincoln, ,35690277.973875,32969.6756319167
168,E07000139,North Kesteven, ,922471379.261125,181807.609914576
169,E07000140,South Holland, ,750912084.94987,198169.824380909
170,E07000141,South Kesteven, ,942585806.81868,209816.442383266
171,E07000142,West Lindsey, ,1155731952.25463,249630.435645608
172,E07000143,Breckland, ,1305116650.165,239527.52888978
173,E07000144,Broadland, ,552400762.15122,205126.119090784
174,E07000145,Great Yarmouth, ,174234306.82218,137703.298708417
175,E07000146,King's Lynn and West Norfolk, ,1438336249.0408,432482.606434455
176,E07000147,North Norfolk, ,964954972.316875,355338.221369178
177,E07000148,Norwich, ,39023519.7225,52509.0753176157
178,E07000149,South Norfolk, ,907705136.80558,258369.578419345
179,E07000150,Corby, ,80280905.775805,66291.4534900131
180,E07000151,Daventry, ,665600474.83,181982.312685344
181,E07000152,East Northamptonshire, ,509787239.09887,163228.761940384
182,E07000153,Kettering, ,233489925.2075,100689.40316472
183,E07000154,Northampton, ,80771940.2025,46341.3874535352
184,E07000155,South Northamptonshire, ,634023177.1825,225304.126709723
185,E07000156,Wellingborough, ,163036488.0375,69758.3633201587
186,E07000163,Craven, ,1178807445.69,199883.593643211
187,E07000164,Hambleton, ,1311228110.365,298519.610401104
188,E07000165,Harrogate, ,1309127582.9075,246964.428900745
189,E07000166,Richmondshire, ,1318707288.83,221709.874936127
190,E07000167,Ryedale, ,1506593818.595,249894.132610834
191,E07000168,Scarborough, ,816540752.730445,243106.094927754
192,E07000169,Selby, ,599310819.17436,264868.959913435
193,E07000170,Ashfield, ,109557944.7125,69174.6699124614
194,E07000171,Bassetlaw, ,637803893.04413,159735.840448425
195,E07000172,Broxtowe, ,80098847.9625,65999.6030738677
196,E07000173,Gedling, ,119981492.02,69754.3413920576
197,E07000174,Mansfield, ,76696897.235,51090.8402008744
198,E07000175,Newark and Sherwood, ,651340470.6975,187422.280339216
199,E07000176,Rushcliffe, ,409231536.88,123324.123737214
200,E07000177,Cherwell, ,588741174.04,225625.746751606
201,E07000178,Oxford, ,45602912.2175,34999.6117590945
202,E07000179,South Oxfordshire, ,678537163.7225,205361.173503693
203,E07000180,Vale of White Horse, ,578644516.0625,175938.230399754
204,E07000181,West Oxfordshire, ,714422018.3075,160247.381445073
205,E07000187,Mendip, ,739435430,198849.817408447
206,E07000188,Sedgemoor, ,564361829.77272,243348.706907321
207,E07000189,South Somerset, ,959040224.1025,241316.68717759
208,E07000190,Taunton Deane, ,462366993.8525,174002.240879963
209,E07000191,West Somerset, ,726839301.17502,176345.117591129
210,E07000192,Cannock Chase, ,78882570.73,50127.6144999603
211,E07000193,East Staffordshire, ,389985169.1575,183775.449229231
212,E07000194,Lichfield, ,331294316.099055,127468.117659184
213,E07000195,Newcastle-under-Lyme, ,210957316.4875,108258.950992122
214,E07000196,South Staffordshire, ,407322255.5225,184894.122163458
215,E07000197,Stafford, ,598172224.475,159078.49796048
216,E07000198,Staffordshire Moorlands, ,575849813.615,152448.153950751
217,E07000199,Tamworth, ,30850733.070945,30729.9071032994
218,E07000200,Babergh, ,595208918.17021,190636.177861155
219,E07000201,Forest Heath, ,377710791.5975,146442.528704933
220,E07000202,Ipswich, ,39414576.0175,44974.3221257585
221,E07000203,Mid Suffolk, ,871070646.035,191154.577001552
222,E07000204,St Edmundsbury, ,656964994.3325,204397.282217292
223,E07000205,Suffolk Coastal, ,891729658.704955,388970.915429865
224,E07000206,Waveney, ,369829759.73568,154844.696071926
225,E07000207,Elmbridge, ,96334275.935,52205.9793717762
226,E07000208,Epsom and Ewell, ,34079150.265,28503.6912835715
227,E07000209,Guildford, ,270931198.9323,128414.216684649
228,E07000210,Mole Valley, ,258320949.84375,105402.763531487
229,E07000211,Reigate and Banstead, ,129143919.04125,79923.5994956548
230,E07000212,Runnymede, ,78040690.435,45677.2828814283
231,E07000213,Spelthorne, ,51161356.0825,44134.3693628109
232,E07000214,Surrey Heath, ,95092968.0475,53559.6472060261
233,E07000215,Tandridge, ,248194572.68,83136.8409208465
234,E07000216,Waverley, ,345170234.8777,125435.829234767
235,E07000217,Woking, ,63603599.425,54781.3209019819
236,E07000218,North Warwickshire, ,284263704.985,113280.318916458
237,E07000219,Nuneaton and Bedworth, ,78950301.7525,48148.4628799663
238,E07000220,Rugby, ,353557283.225,115093.378772302
239,E07000221,Stratford-on-Avon, ,977869070.6325,261383.465340214
240,E07000222,Warwick, ,282882315.66,116716.944727377
241,E07000223,Adur, ,41807339.396705,55014.8837600406
242,E07000224,Arun, ,220708459.358685,150625.184648263
243,E07000225,Chichester, ,786229105.652085,243218.392573614
244,E07000226,Crawley, ,44971198.82,38799.4041143674
245,E07000227,Horsham, ,530270866.3883,212479.741065465
246,E07000228,Mid Sussex, ,334029219.98875,132912.144600803
247,E07000229,Worthing, ,32483620.42515,29446.2643327661
248,E07000234,Bromsgrove, ,216968481.761885,113135.236379096
249,E07000235,Malvern Hills, ,577070986.8775,230605.385866127
250,E07000236,Redditch, ,54250910.0275,41301.7417703786
251,E07000237,Worcester, ,33278123.285,31262.9307460944
252,E07000238,Wychavon, ,663541962.114165,219519.622654608
253,E07000239,Wyre Forest, ,195403719.5625,100867.216812823
254,E07000240,St Albans, ,161188018.835,72760.0451191825
255,E07000241,Welwyn Hatfield, ,129541508.5975,82216.1319905334
256,E07000242,East Hertfordshire, ,475671018.34,135032.651234438
257,E07000243,Stevenage, ,25978564.6925,28504.9718402243
258,E08000001,Bolton, ,139792046.535,82647.1558284384
259,E08000002,Bury, ,99460124.54,68541.7809000935
260,E08000003,Manchester, ,115648234.09,86851.2449816059
261,E08000004,Oldham, ,142344920.7225,71165.7084906796
262,E08000005,Rochdale, ,158128175.3975,82713.1146758695
263,E08000006,Salford, ,97197273.9075,63268.835172202
264,E08000007,Stockport, ,126040284.505,73638.6991996483
265,E08000008,Tameside, ,103154299.0025,55988.8963797985
266,E08000009,Trafford, ,106044766.085,60712.8069236389
267,E08000010,Wigan, ,188171016.83125,88690.3355730191
268,E08000011,Knowsley, ,86500068.275,68167.4888354619
269,E08000012,Liverpool, ,111835575.445305,62700.018200511
270,E08000013,St. Helens, ,136358789.18375,76386.9365536057
271,E08000014,Sefton, ,153140917.01178,114674.441953189
272,E08000015,Wirral, ,157046388.895805,75205.1644534314
273,E08000016,Barnsley, ,329077612.07,126421.214450626
274,E08000017,Doncaster, ,568022016.4625,171071.521845501
275,E08000018,Rotherham, ,286534369.855,106151.799521262
276,E08000019,Sheffield, ,367930015.740105,132837.042146931
277,E08000021,Newcastle upon Tyne, ,113453453.419625,65331.7434976686
278,E08000022,North Tyneside, ,82376830.24305,62560.1185910766
279,E08000023,South Tyneside, ,64420641.84239,49587.6857268976
280,E08000024,Sunderland, ,137438865.2647,99859.3134945566
281,E08000025,Birmingham, ,267791060.15,106260.583378289
282,E08000026,Coventry, ,98639063.98,54057.0610295107
283,E08000027,Dudley, ,97958244.315,75382.2058411091
284,E08000028,Sandwell, ,85558926.4375,59211.0742596103
285,E08000029,Solihull, ,178282111.5225,101031.170409421
286,E08000030,Walsall, ,103973548.005,59405.3487733827
287,E08000031,Wolverhampton, ,69436697.1425,56058.8999859261
288,E08000032,Bradford, ,366419718.01,135920.337148938
289,E08000033,Calderdale, ,363961011.36875,107687.08891022
290,E08000034,Kirklees, ,408551645.29875,125668.277571199
291,E08000035,Leeds, ,551706538.4725,161521.792743917
292,E08000036,Wakefield, ,338619740.345,109447.457379223
293,E08000037,Gateshead, ,142359273.722805,89672.0697894037
294,E09000001,City of London, ,2903922.165,9249.68713556708
295,E09000002,Barking and Dagenham, ,36107811.355,40695.4602373215
296,E09000003,Barnet, ,86748311.375,50818.4816648917
297,E09000004,Bexley, ,60581248.011525,45148.0350747794
298,E09000005,Brent, ,43232641.4675,38334.0609595823
299,E09000006,Bromley, ,150134859.005,76164.185793491
300,E09000007,Camden, ,21789297.1125,26150.7325595948
301,E09000008,Croydon, ,86494435.975,58703.9359559877
302,E09000009,Ealing, ,55544350.8825,47438.8398415306
303,E09000010,Enfield, ,82200192.565,41064.6060945832
304,E09000011,Greenwich, ,47334071.45153,47611.382756717
305,E09000012,Hackney, ,19049032.37,25382.7914631811
306,E09000013,Hammersmith and Fulham, ,16397617.5725,23940.3222972197
307,E09000014,Haringey, ,29598384.035,29025.0953957012
308,E09000015,Harrow, ,50463306.24,33735.4954097599
309,E09000016,Havering, ,112349667.416575,63559.3139195688
310,E09000017,Hillingdon, ,115700537.665,63886.7307261179
311,E09000018,Hounslow, ,55977911.61762,61322.341400845
312,E09000019,Islington, ,14856654.265,20727.8501678537
313,E09000020,Kensington and Chelsea, ,12123852.9675,20973.8273993896
314,E09000021,Kingston upon Thames, ,37261177.89,37553.1079813511
315,E09000022,Lambeth, ,26810040.526185,33856.6507438551
316,E09000023,Lewisham, ,35149083.435,41169.6613473094
317,E09000024,Merton, ,37624739.1175,32349.0018419823
318,E09000025,Newham, ,36201725.93001,34939.8056305083
319,E09000026,Redbridge, ,56419225.525,48674.2392785513
320,E09000027,Richmond upon Thames, ,57406791.77609,67768.1405275928
321,E09000028,Southwark, ,28862036.26648,34210.5613379273
322,E09000029,Sutton, ,43846982.3775,39844.3732417303
323,E09000030,Tower Hamlets, ,19786310.88178,28568.2307416366
324,E09000031,Waltham Forest, ,38807960.08,33339.3307345511
325,E09000032,Wandsworth, ,34264161.8625,38655.9559410616
326,E09000033,Westminster, ,21486979.14282,27304.2682145439
327,S12000005,Clackmannanshire, ,158980647.28806,94164.9345750118
328,S12000006,Dumfries and Galloway, ,6437527010.78667,1147939.09678982
329,S12000008,East Ayrshire, ,1270336615.1734,340628.194666387
330,S12000010,East Lothian, ,679180225.593215,200258.046939571
331,S12000011,East Renfrewshire, ,174241238.15,93716.7054712487
332,S12000013,Na h-Eileanan Siar, ,3100911657.64738,3929475.79921413
333,S12000014,Falkirk, ,297363492.23441,144942.106136504
334,S12000015,Fife, ,1325039880.85388,342847.58417665
335,S12000017,Highland, ,26162804766.9423,5250326.30419758
336,S12000018,Inverclyde, ,161962699.73603,79707.724675448
337,S12000019,Midlothian, ,355275235.69,126403.522136288
338,S12000020,Moray, ,2237564441.99327,437381.871909273
339,S12000021,North Ayrshire, ,885413580.963215,350740.528012201
340,S12000023,Orkney Islands, ,1013345358.98694,1224678.18914522
341,S12000024,Perth and Kinross, ,5383733566.50779,618392.449720421
342,S12000026,Scottish Borders, ,4739146013.75928,513886.013494908
343,S12000027,Shetland Islands, ,1467712238.58487,2369843.26716846
344,S12000028,South Ayrshire, ,1224122694.79437,331717.295634184
345,S12000029,South Lanarkshire, ,1773919028.38,283997.385567499
346,S12000030,Stirling, ,2253343561.48231,341189.153050161
347,S12000033,Aberdeen City, ,185706284.93175,126277.522245472
348,S12000034,Aberdeenshire, ,6317986766.7701,800437.400712649
349,S12000035,Argyll and Bute, ,7007703493.6409,3827117.15099439
350,S12000036,City of Edinburgh, ,263333927.669835,108220.227062843
351,S12000038,Renfrewshire, ,261487683.313015,131630.284944777
352,S12000039,West Dunbartonshire, ,177312402.581695,100456.792992898
353,S12000040,West Lothian, ,428766206.4775,134896.97519898
354,S12000041,Angus, ,2185193981.0815,319727.905147695
355,S12000042,Dundee City, ,59831848.9885115,46804.6327195758
356,S12000044,North Lanarkshire, ,472223901.4225,164168.078406816
357,S12000045,East Dunbartonshire, ,174491272.52625,99515.7585016143
358,S12000046,Glasgow City, ,174676972.91747,135362.382290622
359,W06000001,Isle of Anglesey,Ynys Mon,714456328.32743,361473.944699185
360,W06000002,Gwynedd,Gwynedd,2548092530.35653,582468.155870914
361,W06000003,Conwy,Conwy,1130191384.8603,273510.835802587
362,W06000004,Denbighshire,Sir Ddinbych,838544295.15172,228401.07560392
363,W06000005,Flintshire,Sir y Fflint,437490004.36988,197536.868951277
364,W06000006,Wrexham,Wrecsam,503773495.045,190056.677196067
365,W06000008,Ceredigion,Ceredigion,1789015527.12241,373651.99739417
366,W06000009,Pembrokeshire,Sir Benfro,1618688967.49123,722851.498304434
367,W06000010,Carmarthenshire,Sir Gaerfyrddin,2371151479.31352,564458.320057935
368,W06000011,Swansea,Abertawe,379710154.260215,251350.376214657
369,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,442335429.8875,172778.673068933
370,W06000013,Bridgend,Pen-y-bont ar Ogwr,250730337.29232,90598.0530966255
371,W06000014,Vale of Glamorgan,Bro Morgannwg,331192726.50444,106758.241391107
372,W06000015,Cardiff,Caerdydd,142287242.831025,79678.4504385858
373,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,424150423.2175,130240.638011991
374,W06000018,Caerphilly,Caerffili,277387821.46,116205.60266096
