Reference, Area, 1999/00-2001/02,2000/01-2002/03,2001/02-2003/04,2002/03-2004/05,2003/04-2005/06,2004/05-2006/07,2005/06-2007/08,2006/07-2008/09,2007/08-2009/10,2008/09-2010/11,2009/10-2011/12,2010/11-2012/13,2011/12-2013/14,2012/13-2014/15,2013/14-2015/16,2014/15-2016/17,2015/16-2017/18,2016/17-2018/19
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,70978,68755,67890,68331,69911,73459,77097,80958,82597,81196,79260,75415,72883,70753,70405,69233,67716,65853
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,3190,3120,3078,3125,3059,3226,3464,3781,3998,4007,4042,4148,4207,4209,4107,3975,3723,3549
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,3058,3011,3080,3196,3229,3354,3472,3586,3682,3609,3516,3404,3486,3588,3668,3632,3571,3370
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,1336,1235,1269,1411,1741,1914,1915,1770,1603,1483,1503,1528,1525,1468,1422,1324,1243,1154
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,936,845,780,784,785,866,831,913,937,1013,1085,1082,1099,1017,940,942,929,898
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,6667,6299,6167,6099,6287,6701,7506,8467,9082,8349,6970,5277,4767,4702,5440,5380,5418,5444
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,668,664,674,655,662,707,766,818,816,837,875,879,827,732,716,699,755,701
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,1702,1686,1690,1764,1855,1935,1961,1926,1897,1875,1846,1748,1674,1620,1604,1581,1566,1531
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,1990,1859,1915,2244,2860,3186,3224,2922,2755,2537,2504,2415,2295,2200,2100,2090,1933,1802
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,1661,1564,1593,1689,1754,1761,1759,1827,1904,1939,1930,1888,1795,1717,1651,1652,1587,1537
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,1167,1111,1051,939,911,1000,1047,1098,1093,1183,1230,1224,1185,1196,1251,1275,1245,1168
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,1213,1129,1126,1126,1197,1235,1353,1412,1377,1144,912,733,694,705,843,864,849,864
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,1140,1119,1098,1029,1004,974,993,981,1005,994,1025,971,962,945,987,997,1013,1012
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,2132,2123,2100,2248,2344,2445,2514,2616,2713,2648,2664,2519,2493,2405,2385,2329,2365,2303
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,4838,4747,4690,4739,4876,5146,5443,5712,5835,5686,5623,5337,5266,5071,4982,4890,4564,4463
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,9008,8670,8228,7819,7801,8514,9111,9854,10067,10717,11225,11428,10945,10391,9973,9763,9413,9171
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,2736,2587,2565,2628,2787,2880,2978,3145,3228,3261,3185,3078,2984,2930,2854,2766,2586,2489
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,1130,1106,1121,1208,1221,1234,1194,1191,1187,1178,1150,1098,1051,994,941,898,918,913
