Reference, Area, 1999/00-2001/02,2000/01-2002/03,2001/02-2003/04,2002/03-2004/05,2003/04-2005/06,2004/05-2006/07,2005/06-2007/08,2006/07-2008/09,2007/08-2009/10,2008/09-2010/11,2009/10-2011/12,2010/11-2012/13,2011/12-2013/14,2012/13-2014/15,2013/14-2015/16,2014/15-2016/17,2015/16-2017/18,2016/17-2018/19
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,16.43,16.14,15.52,15.09,14.61,14.26,13.89,13.49,12.88,12.38,11.6,11.12,10.25,9.36,8.41,7.7,7.12,6.63
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,13.54,14.33,14.17,13.31,12.65,11.97,12.07,10.55,9.4,8.11,7.82,7.59,7.13,6.32,5.41,4.78,4.81,4.48
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,9.19,8.73,8.34,8.85,8.27,8.62,8.24,8.37,8.17,7.7,8.13,7.73,7.75,6.27,5.23,4.65,4.65,4.33
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,17.66,16.44,16,13.89,12.58,10.66,11.96,12.94,15.1,14.57,14.11,13.42,11.87,10.56,8.58,8.23,7.96,9.01
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,14,12.78,13.46,13.65,13.38,14.09,14.32,15.44,15.05,13.52,11.89,10.81,11.19,9.54,8.62,7.22,6.35,6.35
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,12.55,11.51,10.83,10.21,10.61,10.28,9.47,8.41,7.09,6.37,5.54,5.86,5.81,5.4,4.96,4.37,4.39,3.75
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,21.26,20.93,20.47,18.93,18.43,15.7,17.49,18.34,20.22,18.76,16.46,15.24,15.36,15.03,12.99,10.87,9.27,8.27
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,21.15,19.75,18.22,16.84,18.01,18.19,18.15,18.02,17.24,16.75,14.08,13.9,12.9,13.46,11.47,11.39,9.64,8.49
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,25.33,25.01,24.44,21.08,17.55,16.42,15.85,17.9,17.64,18.09,15.62,14.29,13.2,12.91,12.05,11.91,12.21,11.88
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,21.73,20.52,19.02,19.12,18.87,19.14,19.1,17.68,17.44,16.09,15.91,14.67,13.31,11.88,10.54,10.17,9.64,9.3
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,9.51,9.81,8.75,10.01,9.99,10.4,9.17,9.29,9.79,9.47,8.46,7.43,6.33,4.85,3.52,3.84,3.45,3
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,14.26,13.64,12.79,10.75,12.2,13.93,14.04,13.17,11.11,11.45,11.73,13.23,12.82,11.63,10.08,8.1,8.13,8.8
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,7.37,6.34,6.28,7.29,8.27,8.83,8.46,9.07,7.46,6.84,5.46,5.87,4.99,3.49,2.94,3.21,3.06,2.37
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,15.01,14.93,14.76,14.64,13.48,13.99,13.8,14.53,13.75,13.37,11.52,11.35,9.99,9.69,8.09,7.77,6.64,6.12
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,18.38,18.07,16.91,16.29,15.24,14.65,14.72,15.14,15.99,15.85,15.42,14.15,13.18,12.15,11.6,10.96,10.39,10.04
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,19.64,19.23,18.28,18.16,17.95,17.22,15.65,14.42,13.19,12.49,10.95,10.02,8.7,8.26,7.5,6.85,6.29,5.95
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,17.76,17.24,16.92,15.72,15.29,14.62,14.64,13.8,13.91,13.92,14.29,13.87,12.77,11.19,9.39,8.32,8.04,8.2
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,22.74,24.05,22.93,22.1,20.48,18.23,18.26,17.72,17.02,16.38,14,13.75,12.08,10.76,9.25,8.24,7.19,7.23
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,16.21,16.76,16.54,16,14.12,13.89,14.01,14.45,13.26,13.27,12.98,13.62,11.88,11.58,11.42,10.1,7.69,5.1
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,13.52,15.07,14.95,16.42,15.72,15.27,14,13.67,14.52,15.6,14.82,13.02,11.64,10.81,9.96,8.85,8.23,6.88
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,11.7,10.82,9.57,9.81,10.42,12.36,11.78,14.2,12.95,14.89,11.74,13.01,10.59,9.12,8.36,8.22,7.69,5.34
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,21.11,21.41,20.03,19.82,18.15,20.13,19.98,20.05,18.87,20.17,18.87,17.49,14.91,13.43,13.49,11.76,12.64,12.36
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,18.06,18.04,17.68,16.96,16.36,16.32,16.18,15.94,15.25,14.33,13.16,12.66,11.72,11.48,10.21,9.94,8.89,8.91
