FeatureCode,DateCode,Measurement,Units,Value,Population Group,Breastfeeding Data Collection Time
S08000015,2002/2003,Count,Babies,1235,Breastfed,First Visit
S08000015,2002/2003,Count,Babies,1152,Exclusively Breastfed,First Visit
S08000015,2002/2003,Count,Babies,891,Breastfed,6 To 8 Week Review
S08000015,2002/2003,Count,Babies,690,Exclusively Breastfed,6 To 8 Week Review
S08000016,2002/2003,Count,Babies,521,Breastfed,First Visit
S08000016,2002/2003,Count,Babies,467,Exclusively Breastfed,First Visit
S08000016,2002/2003,Count,Babies,428,Breastfed,6 To 8 Week Review
S08000016,2002/2003,Count,Babies,335,Exclusively Breastfed,6 To 8 Week Review
S08000017,2002/2003,Count,Babies,592,Breastfed,First Visit
S08000017,2002/2003,Count,Babies,492,Exclusively Breastfed,First Visit
S08000017,2002/2003,Count,Babies,467,Breastfed,6 To 8 Week Review
S08000017,2002/2003,Count,Babies,309,Exclusively Breastfed,6 To 8 Week Review
S08000019,2002/2003,Count,Babies,1060,Breastfed,First Visit
S08000019,2002/2003,Count,Babies,915,Exclusively Breastfed,First Visit
S08000019,2002/2003,Count,Babies,813,Breastfed,6 To 8 Week Review
S08000019,2002/2003,Count,Babies,626,Exclusively Breastfed,6 To 8 Week Review
S08000022,2002/2003,Count,Babies,347,Breastfed,First Visit
S08000022,2002/2003,Count,Babies,319,Exclusively Breastfed,First Visit
S08000022,2002/2003,Count,Babies,299,Breastfed,6 To 8 Week Review
S08000022,2002/2003,Count,Babies,233,Exclusively Breastfed,6 To 8 Week Review
S08000024,2002/2003,Count,Babies,4385,Breastfed,First Visit
S08000024,2002/2003,Count,Babies,3874,Exclusively Breastfed,First Visit
S08000024,2002/2003,Count,Babies,3582,Breastfed,6 To 8 Week Review
S08000024,2002/2003,Count,Babies,2735,Exclusively Breastfed,6 To 8 Week Review
S08000029,2002/2003,Count,Babies,1431,Breastfed,First Visit
S08000029,2002/2003,Count,Babies,1283,Exclusively Breastfed,First Visit
S08000029,2002/2003,Count,Babies,1129,Breastfed,6 To 8 Week Review
S08000029,2002/2003,Count,Babies,838,Exclusively Breastfed,6 To 8 Week Review
S08000030,2002/2003,Count,Babies,1700,Breastfed,First Visit
S08000030,2002/2003,Count,Babies,1523,Exclusively Breastfed,First Visit
S08000030,2002/2003,Count,Babies,1349,Breastfed,6 To 8 Week Review
S08000030,2002/2003,Count,Babies,992,Exclusively Breastfed,6 To 8 Week Review
S08000015,2003/2004,Count,Babies,1319,Breastfed,First Visit
S08000015,2003/2004,Count,Babies,1215,Exclusively Breastfed,First Visit
S08000015,2003/2004,Count,Babies,904,Breastfed,6 To 8 Week Review
S08000015,2003/2004,Count,Babies,700,Exclusively Breastfed,6 To 8 Week Review
S08000016,2003/2004,Count,Babies,495,Breastfed,First Visit
S08000016,2003/2004,Count,Babies,453,Exclusively Breastfed,First Visit
S08000016,2003/2004,Count,Babies,408,Breastfed,6 To 8 Week Review
S08000016,2003/2004,Count,Babies,303,Exclusively Breastfed,6 To 8 Week Review
S08000017,2003/2004,Count,Babies,580,Breastfed,First Visit
S08000017,2003/2004,Count,Babies,488,Exclusively Breastfed,First Visit
S08000017,2003/2004,Count,Babies,494,Breastfed,6 To 8 Week Review
S08000017,2003/2004,Count,Babies,362,Exclusively Breastfed,6 To 8 Week Review
S08000019,2003/2004,Count,Babies,1218,Breastfed,First Visit
S08000019,2003/2004,Count,Babies,1058,Exclusively Breastfed,First Visit
S08000019,2003/2004,Count,Babies,872,Breastfed,6 To 8 Week Review
S08000019,2003/2004,Count,Babies,678,Exclusively Breastfed,6 To 8 Week Review
S08000022,2003/2004,Count,Babies,383,Breastfed,First Visit
S08000022,2003/2004,Count,Babies,352,Exclusively Breastfed,First Visit
S08000022,2003/2004,Count,Babies,300,Breastfed,6 To 8 Week Review
S08000022,2003/2004,Count,Babies,249,Exclusively Breastfed,6 To 8 Week Review
S08000024,2003/2004,Count,Babies,4553,Breastfed,First Visit
S08000024,2003/2004,Count,Babies,3935,Exclusively Breastfed,First Visit
S08000024,2003/2004,Count,Babies,3671,Breastfed,6 To 8 Week Review
S08000024,2003/2004,Count,Babies,2747,Exclusively Breastfed,6 To 8 Week Review
S08000029,2003/2004,Count,Babies,1509,Breastfed,First Visit
S08000029,2003/2004,Count,Babies,1364,Exclusively Breastfed,First Visit
S08000029,2003/2004,Count,Babies,1141,Breastfed,6 To 8 Week Review
S08000029,2003/2004,Count,Babies,868,Exclusively Breastfed,6 To 8 Week Review
S08000030,2003/2004,Count,Babies,1862,Breastfed,First Visit
S08000030,2003/2004,Count,Babies,1661,Exclusively Breastfed,First Visit
S08000030,2003/2004,Count,Babies,1425,Breastfed,6 To 8 Week Review
S08000030,2003/2004,Count,Babies,1051,Exclusively Breastfed,6 To 8 Week Review
S08000015,2004/2005,Count,Babies,1416,Breastfed,First Visit
S08000015,2004/2005,Count,Babies,1312,Exclusively Breastfed,First Visit
S08000015,2004/2005,Count,Babies,983,Breastfed,6 To 8 Week Review
S08000015,2004/2005,Count,Babies,743,Exclusively Breastfed,6 To 8 Week Review
S08000016,2004/2005,Count,Babies,551,Breastfed,First Visit
S08000016,2004/2005,Count,Babies,493,Exclusively Breastfed,First Visit
S08000016,2004/2005,Count,Babies,423,Breastfed,6 To 8 Week Review
S08000016,2004/2005,Count,Babies,324,Exclusively Breastfed,6 To 8 Week Review
S08000017,2004/2005,Count,Babies,615,Breastfed,First Visit
S08000017,2004/2005,Count,Babies,513,Exclusively Breastfed,First Visit
S08000017,2004/2005,Count,Babies,502,Breastfed,6 To 8 Week Review
S08000017,2004/2005,Count,Babies,357,Exclusively Breastfed,6 To 8 Week Review
S08000019,2004/2005,Count,Babies,1214,Breastfed,First Visit
S08000019,2004/2005,Count,Babies,1053,Exclusively Breastfed,First Visit
S08000019,2004/2005,Count,Babies,879,Breastfed,6 To 8 Week Review
S08000019,2004/2005,Count,Babies,674,Exclusively Breastfed,6 To 8 Week Review
S08000022,2004/2005,Count,Babies,375,Breastfed,First Visit
S08000022,2004/2005,Count,Babies,337,Exclusively Breastfed,First Visit
S08000022,2004/2005,Count,Babies,305,Breastfed,6 To 8 Week Review
S08000022,2004/2005,Count,Babies,239,Exclusively Breastfed,6 To 8 Week Review
S08000024,2004/2005,Count,Babies,4626,Breastfed,First Visit
S08000024,2004/2005,Count,Babies,3907,Exclusively Breastfed,First Visit
S08000024,2004/2005,Count,Babies,3702,Breastfed,6 To 8 Week Review
S08000024,2004/2005,Count,Babies,2801,Exclusively Breastfed,6 To 8 Week Review
S08000029,2004/2005,Count,Babies,1550,Breastfed,First Visit
S08000029,2004/2005,Count,Babies,1397,Exclusively Breastfed,First Visit
S08000029,2004/2005,Count,Babies,1206,Breastfed,6 To 8 Week Review
S08000029,2004/2005,Count,Babies,910,Exclusively Breastfed,6 To 8 Week Review
S08000030,2004/2005,Count,Babies,1774,Breastfed,First Visit
S08000030,2004/2005,Count,Babies,1562,Exclusively Breastfed,First Visit
S08000030,2004/2005,Count,Babies,1363,Breastfed,6 To 8 Week Review
S08000030,2004/2005,Count,Babies,1025,Exclusively Breastfed,6 To 8 Week Review
S08000015,2005/2006,Count,Babies,1378,Breastfed,First Visit
S08000015,2005/2006,Count,Babies,1251,Exclusively Breastfed,First Visit
S08000015,2005/2006,Count,Babies,1014,Breastfed,6 To 8 Week Review
S08000015,2005/2006,Count,Babies,780,Exclusively Breastfed,6 To 8 Week Review
S08000016,2005/2006,Count,Babies,515,Breastfed,First Visit
S08000016,2005/2006,Count,Babies,448,Exclusively Breastfed,First Visit
S08000016,2005/2006,Count,Babies,449,Breastfed,6 To 8 Week Review
S08000016,2005/2006,Count,Babies,341,Exclusively Breastfed,6 To 8 Week Review
S08000017,2005/2006,Count,Babies,565,Breastfed,First Visit
S08000017,2005/2006,Count,Babies,455,Exclusively Breastfed,First Visit
S08000017,2005/2006,Count,Babies,507,Breastfed,6 To 8 Week Review
S08000017,2005/2006,Count,Babies,356,Exclusively Breastfed,6 To 8 Week Review
S08000019,2005/2006,Count,Babies,1310,Breastfed,First Visit
S08000019,2005/2006,Count,Babies,1124,Exclusively Breastfed,First Visit
S08000019,2005/2006,Count,Babies,943,Breastfed,6 To 8 Week Review
S08000019,2005/2006,Count,Babies,742,Exclusively Breastfed,6 To 8 Week Review
S08000022,2005/2006,Count,Babies,407,Breastfed,First Visit
S08000022,2005/2006,Count,Babies,374,Exclusively Breastfed,First Visit
