Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,85533,83873,87265,91703,94375,95045,95961,98424,101770,104904,106861,107646,106894,107010,108676,111320,110926,108808
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,4061,3876,3786,3897,3979,4317,4600,4889,5073,5276,5653,6005,6112,6155,6150,6170,5890,5453
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,4692,4572,4552,4634,4849,5254,5424,5546,5558,5538,5550,5475,5651,5744,5940,6023,6004,5529
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,1522,1493,1491,1461,1352,1278,1372,1730,1960,2091,2088,2120,2206,2240,2248,2168,2055,1848
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,1378,1267,1077,1000,1057,1214,1241,1240,1283,1334,1344,1261,1199,1145,1158,1301,1384,1388
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,4557,4858,7695,10134,11525,11334,11398,10920,9494,8937,8814,9994,10289,10293,10531,10586,10494,10447
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,892,850,856,851,905,972,1040,1012,1065,1155,1274,1296,1215,1181,1148,1202,1184,1099
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,2544,2454,2299,2398,2406,2511,2536,2539,2658,2631,2649,2591,2529,2424,2396,2423,2446,2330
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,1922,1916,1954,1860,1572,1338,1617,2283,2929,3174,3176,3114,3035,3111,3079,3115,2883,2508
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,2081,2001,1945,1920,1927,1916,1977,2160,2313,2343,2319,2367,2417,2381,2337,2277,2213,2135
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,1877,1888,1815,1758,1601,1374,1148,1132,1419,1711,1791,1736,1699,1824,1986,2162,2244,2279
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,913,936,1602,2125,2464,2351,2360,2205,1802,1424,1167,1409,1473,1646,1783,1998,1967,1941
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,2081,2071,2035,2030,1960,1924,1832,1811,1844,1874,1918,1838,1843,1845,1969,2098,2182,2205
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,3112,3051,3091,3353,3547,3708,3699,3425,3557,3677,4066,3984,3920,3825,3780,3841,3679,3598
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,5295,5237,5310,5364,5491,5622,5969,6539,7003,7273,7281,7237,7210,7142,7145,7023,6720,6266
