Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,16557,16406,13542,12025,12867,15284,19552,22840,22398,17043,11896,8340,7397,5949,4721,3879,4879,5565
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,170,189,184,157,119,88,106,128,96,69,59,73,92,75,86,62,54,24
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,238,230,342,400,417,288,244,182,146,109,105,109,105,90,89,82,76,60
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,57,42,64,222,538,741,744,429,194,32,28,37,45,45,42,26,87,226
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,84,186,467,592,528,271,187,181,196,174,141,121,177,220,218,151,117,145
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,6834,6402,3269,1143,241,312,519,2011,4112,3945,2456,223,159,104,92,75,65,58
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,24,20,31,53,75,78,107,191,176,119,12,14,27,28,25,15,31,32
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,68,51,257,276,301,228,263,304,218,173,116,83,83,81,67,45,42,76
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,46,42,65,374,1046,1485,1429,770,313,68,73,78,91,84,73,61,201,615
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,7,11,15,16,16,13,34,49,74,144,155,137,52,29,23,21,18,20
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,164,121,196,293,498,813,1222,1393,1088,689,441,419,369,260,182,122,187,212
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,1432,1271,576,123,37,43,83,328,567,543,316,78,65,50,39,34,31,24
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,32,39,64,89,108,125,190,202,168,104,82,95,83,81,73,57,91,112
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,110,122,158,195,199,197,276,572,581,518,214,171,149,123,117,90,169,156
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,171,172,158,226,357,416,389,242,177,120,126,114,121,137,169,200,256,397
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,746,892,1495,2217,3151,4557,6521,7503,6068,4077,2956,3069,2503,1695,1084,888,1250,1350
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,3174,3300,2691,1820,923,423,338,236,198,121,105,103,138,136,117,75,80,78
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,42,51,48,64,68,82,88,96,99,110,89,61,33,43,65,63,61,43
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,1679,1505,802,276,34,54,91,317,633,611,399,71,53,36,26,31,28,19
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,125,118,111,97,75,57,72,70,66,39,33,31,35,32,39,34,27,21
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,46,60,75,80,76,161,268,272,181,57,55,50,62,82,84,79,53,52
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,16,21,21,24,30,32,46,50,57,91,94,87,38,30,43,39,36,21
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,319,473,887,1266,1560,2059,2708,3293,2697,1975,1447,1459,1233,849,570,498,562,518
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,42,43,44,33,23,11,8,15,18,20,14,11,7,5,5,4,2,1
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,92,61,73,261,545,702,759,496,318,62,67,128,202,177,113,31,78,126
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,66,66,76,83,83,75,133,153,164,119,92,77,79,115,150,134,146,121
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,162,155,104,64,90,109,111,115,142,169,224,424,593,629,489,384,335,245
