Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,8.39,8.67,8.89,9.13,8.96,9.06,8.97,9.04,9.26,10.42,11.7,12.75,12.76,12.96,12.92,12.64,11.87,11.39
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,9.29,8.7,7.57,7.29,6.63,7.03,6.84,8.99,11.02,12.95,12.13,10.93,10.44,10.63,10.28,8.97,9.74,14.18
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,9.14,8.88,7.67,7.49,7.01,7.34,7.98,10.68,13.59,15.35,13.96,12.33,10.81,10.9,10.4,9.66,10.13,13.97
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,20.23,21.44,22.51,21.01,17.9,16.3,15.78,14.92,13.54,12.67,13.02,12.99,11.19,10.69,9.97,10.76,10.65,10.51
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,11.37,11.52,10,10.03,9.76,11.43,11.78,13.43,12.18,11.96,12.57,14.88,14.9,14.29,14.66,13.58,10.73,6.31
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,3.85,3.04,2.77,2.11,1.72,3.44,4.72,4.37,6.75,13.38,21.38,25.82,24.47,22.74,20.67,20.19,19.54,18.43
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,5.88,5.66,4.97,4.37,3.22,2.08,2.99,5.46,5.07,3.64,0.74,1.13,2.78,4.92,7.34,7,6.28,4.31
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,7.09,7.3,7.4,7.47,7.76,8.65,8.66,9.1,8.78,9.65,10.65,11.48,12.22,12.05,12.68,12.65,15.02,15.24
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,17.93,18.11,18.39,16.88,13.76,10.99,10.84,11.86,11.71,11.01,11.23,11.58,11.19,10.52,10.45,10.3,9.1,7.85
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,10.41,12.04,14.4,16.45,18.3,19.98,19.69,17.16,13.61,11.37,11.48,11.23,11.79,12.11,15.04,17.55,19.79,19.24
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,8.88,9.23,10.19,10.24,9.26,6.93,3.94,1.88,3.09,5.26,7.64,8.93,10.61,12.46,12.49,11.46,8.96,6.66
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,3.61,3.3,2.97,1.71,0.67,2.79,4.56,4.47,6.46,12.58,22.3,24.04,22.23,18.62,17.79,17.16,16.56,16.8
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,7.64,8.06,7.89,8.17,7.86,6.98,6.78,6.59,6.33,6.57,6.47,7.57,8.09,9.86,10.03,8.35,5.46,3.78
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,0.76,0.81,0.98,1.01,0.94,0.95,2.15,4.71,4.57,3.26,0.58,1.11,3.09,5.11,6.62,6.29,5.75,4.55
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,18.13,19.1,19.53,19.84,19.9,20.25,20.39,19.12,17.33,15.95,16.1,15.9,15.17,14.11,13.65,13.95,14.43,16.29
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,7.71,7.53,7.37,7.06,6.09,4.87,3.7,3.48,4.02,5.02,5.64,7.03,8.32,10.16,10.25,9.47,7.88,5.7
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,8.26,8.77,9.82,11.39,13.24,14.1,14.69,15.74,16.88,18.09,19.87,20.44,18.69,15.96,13.94,13.42,12.35,11.48
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,6.93,7.86,9.64,8.06,7.29,5.95,8.37,9.41,10.23,8.35,9.02,9.1,9.43,9.17,8.71,8.43,6.3,4.95
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,2.4,2.29,1.8,0.76,0.64,3.6,5.11,4.79,6.08,12.31,20.64,24.82,25.04,23.69,21.88,20.24,19.84,19.9
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,5.62,5.85,5.81,8.41,9.41,10.34,10.74,12.55,12.55,13.45,13.05,13.97,12.97,12.08,11.6,11.42,12.69,16.69
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,8.69,8.15,8.38,8.75,11.26,9.73,8.25,7.08,8.64,9.73,7.9,9.45,9.44,10.19,8.62,8.62,7.62,6.7
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,13.1,14.52,16.14,19.41,21.28,22.16,20.69,17.74,15.17,12.37,11.49,10.59,11.11,12.37,14.65,16.31,18.15,18.27
