Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,55.11,55.15,57.34,59.24,60.16,59.67,58.57,58.13,59.05,60.95,62.24,63.34,64.32,65.62,67.37,69.07,70.15,70.6
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,63.83,63.13,62.73,63.68,65.43,68.17,68.72,68.44,67.83,68.67,70.98,73.17,73.86,74.37,74.93,76.3,75.61,71.81
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,68.32,67.98,67.27,67.04,68.8,71.07,70.97,69.77,68.71,68.76,71.09,72.82,74.66,74.9,76.33,77.68,77.78,74.12
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,48.64,48.58,47.67,46.37,41.73,39.08,40.31,49.46,56.24,61.92,61.63,62.57,65.11,67.47,68.94,69.22,67.96,63.68
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,61.71,58.36,50.3,46,48.22,55.51,57.99,57.22,58.29,59.98,61.43,60.51,58.95,57.62,58.96,65.18,71.71,73.63
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,34.03,37.31,58.96,76.73,86,83.38,79.8,72.37,59.62,54.07,52.17,59.38,61.87,64.76,67.45,68.09,68.98,70.87
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,58.92,57.98,58.31,58.97,60.66,63.08,62.2,57.57,59.33,64.63,72.59,73.01,71.94,71.79,72.02,75.79,75.08,75.12
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,65.36,64.48,60.74,60.51,59.47,60.2,59.83,59.7,62.37,62.39,63.13,63.4,63.86,63.77,64.36,65.61,65.47,64.31
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,44.12,44.66,44.3,41.91,35.59,31.61,35.92,47.4,56.32,61.19,61.3,60.9,60.96,63.53,64.86,65.51,63.67,56.88
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,57.79,57.2,55.33,53.16,51.93,51.33,52.04,55,57.97,58.96,58.5,60.14,62.07,62.94,62.09,61.21,60.75,61.23
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,66.44,67.53,65.15,63.4,58.35,51.5,42.71,40.93,50.34,60.35,65.2,63.8,64.14,67.83,71.67,75.33,76.48,79.49
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,33.59,36.32,60.32,79.14,86.97,84.05,79.78,73.62,63.27,53.96,45.66,52.85,55.58,61.28,63.45,66.18,66.75,66.95
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,76.79,76.96,76.48,75.69,74.38,74.57,72.67,72.82,75.3,77.95,79.06,76.9,76.89,76.4,78.38,82.6,85.67,86.85
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,69.84,68.93,68.93,70.29,71.3,72.01,69.69,63.25,64.73,68.04,76.43,77.39,77.76,77.02,77.46,80.32,79.86,79.15
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,50.67,50.42,50.55,49.89,49.88,49.9,51.24,53.9,56.41,58.53,58.95,59.86,61.09,62.57,63.69,63.76,63.66,60.97
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,54.48,55.59,55.17,53.92,52.38,49.73,46.24,45.34,52.67,59.48,63.26,61.58,62.41,64.64,68.34,71.64,72.79,75.3
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,14.05,9.66,18.04,33.24,47.31,55.29,55.98,57.64,57.58,58.66,58.22,58.6,60.22,62.88,66.04,67.53,69.37,70.4
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,62.8,62.15,60.49,61.99,62.14,63.47,62.37,62.96,62.84,63.61,63.21,65.06,67.66,69.38,70.55,72.74,77.55,79.54
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,24.5,28.99,51.54,74.61,86.16,80.81,75.29,68.48,57.37,48.86,42.16,48.61,49.72,53.96,57.79,60.89,63.21,65.46
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,64.63,64.38,65.12,63.33,62.73,62.27,62.63,62.94,62.95,62.05,62.9,64.07,66.47,67.87,68.58,69.3,69.93,67.19
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,67.45,64.59,63.87,62.41,62.96,55.29,46.96,47.58,53.68,66.47,67.66,67.44,67.36,65.29,66.26,66.77,72.94,74.8
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,55.08,53.03,51.5,48.24,47.17,46.95,49.32,52.58,55.63,57.65,58.5,59.28,60.28,60.18,59.41,58.74,58,58.93
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,60.87,59.76,57.55,54.95,53.85,51.41,49.31,46.99,51.76,56.91,61.54,62.06,62.94,63.72,65.01,66.49,69.02,72.01
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,69.87,68.2,68.03,65.66,66.6,65.36,65.92,67,70.82,72.85,73.7,73.19,76.63,80.36,80.56,77.34,70.94,69.57
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,67.39,68.25,68.95,62.67,54.46,48.7,48.75,57.23,63.53,69.72,69.81,68.61,68.93,71.6,74.44,74.38,71.84,70.03
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,63.11,62.77,63.35,63.15,63.68,63.73,63.68,65.01,65.5,66.26,65.56,66.05,66.99,66.97,68.29,73.01,78.33,81.13
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,65.83,63.96,64.45,63.89,63.12,62.68,63.92,64.64,63.85,62,58.34,52.36,49.84,50.56,54.89,56.64,61.13,64.69
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,62.52,63.35,62.11,59.17,60.95,64.71,66.43,63.05,63.95,67.44,71,71.8,71.01,72.4,74.75,78.38,76.51,73.08
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,59.07,58.14,55.87,53.15,51.71,50.28,51.11,54.03,58.52,59.05,59.34,58.37,60.11,59.05,60.3,60.89,62.61,61.47
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,64.87,64.67,63.22,62.76,61.54,59.52,55.35,54.32,58.65,65.05,69.26,69.35,67.97,66.64,66.48,68.51,71.49,75.03
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,68.22,68.84,69.62,70.63,72.07,73.23,72.2,67.11,70.07,73.67,80.84,79.89,79.12,78.93,79.42,82.14,82.19,82.24
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,55,52.89,46.03,43.3,45.53,52.97,57.04,57.59,60.39,62.3,63.95,63.02,62.65,61.65,62.45,66.52,70.68,74.39
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,62.88,63.56,64.49,65.58,65.04,66.19,65.96,65.36,54.75,50.65,46.25,52.12,53.27,55.16,57.27,57.78,58.72,59.16
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,63.67,63.36,64.81,66.41,69.12,72.26,72.66,71.83,71.04,71.33,75.09,77.35,78.05,77.78,78.21,80.14,79.48,76
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,61.27,59.51,57.93,59.1,60.82,63.85,65.06,65.38,64.77,65.73,67.19,69.26,69.9,71.11,71.86,72.4,71.66,67.31
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,67.14,67.12,67.37,68.36,69.7,71.47,71.38,70.12,69.04,69.27,70.92,73.49,74.83,76.09,76.92,79.25,79.03,75.56
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,70.61,70.23,70.55,70.2,71.53,73.33,72.46,71.24,70.12,70.96,73.57,74.95,76.67,76.79,77.85,79.46,79.97,77.33
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,76.66,75.99,74,71.02,71.98,73.83,76.68,77.2,76.25,75.02,75.76,76.77,79.76,80.41,82.85,83.21,84.11,79.8
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,62.61,61.69,60.26,59.11,58.98,58.81,58.83,58.17,59.54,61.58,65.64,66.65,65.84,64.5,64.36,66.97,70.5,73.44
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,61.99,62.69,63.9,65.11,64.71,65.52,65.21,63.64,51.6,47.83,43.9,50.14,50.84,53.08,55.41,56.31,57.4,57.37
