LAD20CD,DateRange,Smoker_Current,Smoker_Former,Smoker_Never,Smoker_Unknown
S12000005,2000,33.62,5.88,58.92,1.59
S12000005,2001,34.99,5.66,57.98,1.36
S12000005,2002,34.6,4.97,58.31,2.11
S12000005,2003,32.99,4.37,58.97,3.67
S12000005,2004,31.1,3.22,60.66,5.03
S12000005,2005,29.79,2.08,63.08,5.06
S12000005,2006,28.41,2.99,62.2,6.4
S12000005,2007,26.11,5.46,57.57,10.86
S12000005,2008,25.79,5.07,59.33,9.81
S12000005,2009,25.07,3.64,64.63,6.66
S12000005,2010,25.98,0.74,72.59,0.68
S12000005,2011,25.07,1.13,73.01,0.79
S12000005,2012,23.68,2.78,71.94,1.6
S12000005,2013,21.58,4.92,71.79,1.7
S12000005,2014,19.07,7.34,72.02,1.57
S12000005,2015,16.27,7,75.79,0.95
S12000005,2016,16.68,6.28,75.08,1.97
S12000005,2017,18.39,4.31,75.12,2.19
S12000006,2000,25.8,7.09,65.36,1.75
S12000006,2001,26.88,7.3,64.48,1.34
S12000006,2002,25.07,7.4,60.74,6.79
S12000006,2003,25.06,7.47,60.51,6.96
S12000006,2004,25.33,7.76,59.47,7.44
S12000006,2005,25.68,8.65,60.2,5.47
S12000006,2006,25.31,8.66,59.83,6.2
S12000006,2007,24.05,9.1,59.7,7.15
S12000006,2008,23.74,8.78,62.37,5.11
S12000006,2009,23.86,9.65,62.39,4.1
S12000006,2010,23.45,10.65,63.13,2.76
S12000006,2011,23.1,11.48,63.4,2.03
S12000006,2012,21.82,12.22,63.86,2.1
S12000006,2013,22.05,12.05,63.77,2.13
S12000006,2014,21.17,12.68,64.36,1.8
S12000006,2015,20.53,12.65,65.61,1.22
S12000006,2016,18.39,15.02,65.47,1.12
S12000006,2017,18.35,15.24,64.31,2.1
S12000008,2000,31.6,10.41,57.79,0.19
S12000008,2001,30.45,12.04,57.2,0.31
S12000008,2002,29.84,14.4,55.33,0.43
S12000008,2003,29.96,16.45,53.16,0.44
S12000008,2004,29.35,18.3,51.93,0.43
S12000008,2005,28.34,19.98,51.33,0.35
S12000008,2006,27.38,19.69,52.04,0.89
S12000008,2007,26.59,17.16,55,1.25
S12000008,2008,26.57,13.61,57.97,1.85
S12000008,2009,26.04,11.37,58.96,3.62
S12000008,2010,26.11,11.48,58.5,3.91
S12000008,2011,25.15,11.23,60.14,3.48
S12000008,2012,24.81,11.79,62.07,1.34
S12000008,2013,24.19,12.11,62.94,0.77
S12000008,2014,22.26,15.04,62.09,0.61
S12000008,2015,20.67,17.55,61.21,0.56
S12000008,2016,18.97,19.79,60.75,0.49
S12000008,2017,18.96,19.24,61.23,0.57
S12000010,2000,10.12,3.61,33.59,52.69
S12000010,2001,11.06,3.3,36.32,49.32
S12000010,2002,15.02,2.97,60.32,21.69
S12000010,2003,14.56,1.71,79.14,4.58
S12000010,2004,11.05,0.67,86.97,1.31
S12000010,2005,11.62,2.79,84.05,1.54
S12000010,2006,12.85,4.56,79.78,2.81
S12000010,2007,10.95,4.47,73.62,10.95
S12000010,2008,10.36,6.46,63.27,19.91
S12000010,2009,12.88,12.58,53.96,20.58
S12000010,2010,19.68,22.3,45.66,12.36
S12000010,2011,20.18,24.04,52.85,2.93
S12000010,2012,19.74,22.23,55.58,2.45
S12000010,2013,18.24,18.62,61.28,1.86
S12000010,2014,17.37,17.79,63.45,1.39
S12000010,2015,15.53,17.16,66.18,1.13
S12000010,2016,15.64,16.56,66.75,1.05
S12000010,2017,15.42,16.8,66.95,0.83
S12000011,2000,14.39,7.64,76.79,1.18
S12000011,2001,13.53,8.06,76.96,1.45
S12000011,2002,13.23,7.89,76.48,2.41
S12000011,2003,12.83,8.17,75.69,3.32
S12000011,2004,13.66,7.86,74.38,4.1
S12000011,2005,13.6,6.98,74.57,4.84
S12000011,2006,13.01,6.78,72.67,7.54
S12000011,2007,12.46,6.59,72.82,8.12
S12000011,2008,11.51,6.33,75.3,6.86
S12000011,2009,11.15,6.57,77.95,4.33
S12000011,2010,11.09,6.47,79.06,3.38
S12000011,2011,11.55,7.57,76.9,3.97
S12000011,2012,11.56,8.09,76.89,3.46
S12000011,2013,10.39,9.86,76.4,3.35
S12000011,2014,8.68,10.03,78.38,2.91
S12000011,2015,6.81,8.35,82.6,2.24
S12000011,2016,5.3,5.46,85.67,3.57
S12000011,2017,4.96,3.78,86.85,4.41
S12000013,2000,17.08,8.69,67.45,6.77
S12000013,2001,18.37,8.15,64.59,8.89
S12000013,2002,16.91,8.38,63.87,10.84
S12000013,2003,17.36,8.75,62.41,11.48
S12000013,2004,14.52,11.26,62.96,11.26
S12000013,2005,12.27,9.73,55.29,22.71
S12000013,2006,8.53,8.25,46.96,36.27
S12000013,2007,9.7,7.08,47.58,35.65
S12000013,2008,12.04,8.64,53.68,25.64
S12000013,2009,15.27,9.73,66.47,8.53
S12000013,2010,16.24,7.9,67.66,8.2
S12000013,2011,15.84,9.45,67.44,7.27
S12000013,2012,14.58,9.44,67.36,8.61
S12000013,2013,12.41,10.19,65.29,12.11
S12000013,2014,12.41,8.62,66.26,12.71
S12000013,2015,12.46,8.62,66.77,12.15
S12000013,2016,11.2,7.62,72.94,8.24
S12000013,2017,10.21,6.7,74.8,8.29
S12000014,2000,26.93,0.76,69.84,2.47
