Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,13027,13190,13536,14130,14052,14432,14693,15307,15964,17932,20095,21663,21212,21143,20850,20370,18770,17556
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,591,534,457,446,403,445,458,642,824,995,966,897,864,880,844,725,759,1077
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,628,597,519,518,494,543,610,849,1099,1236,1090,927,818,836,809,749,782,1042
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,633,659,704,662,580,533,537,522,472,428,441,440,379,355,325,337,322,305
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,254,250,214,218,214,250,252,291,268,266,275,310,303,284,288,271,207,119
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,515,396,362,279,231,467,674,660,1075,2212,3612,4346,4070,3615,3228,3138,2973,2717
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,89,83,73,63,48,32,50,96,91,65,13,20,47,81,117,111,99,63
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,276,278,280,296,314,361,367,387,374,407,447,469,484,458,472,467,561,552
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,781,777,811,749,608,465,488,571,609,571,582,592,557,515,496,490,412,346
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,375,421,506,594,679,746,748,674,543,452,455,442,459,458,566,653,721,671
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,251,258,284,284,254,185,106,52,87,149,210,243,281,335,346,329,263,191
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,98,85,79,46,19,78,135,134,184,332,570,641,589,500,500,518,488,487
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,207,217,210,219,207,180,171,164,155,158,157,181,194,238,252,212,139,96
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,34,36,44,48,47,49,114,255,251,176,31,57,156,254,323,301,265,207
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,1895,1984,2052,2133,2191,2282,2375,2320,2151,1982,1989,1922,1790,1610,1531,1537,1523,1674
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,1485,1427,1405,1377,1204,972,760,744,891,1121,1270,1580,1821,2181,2141,1981,1602,1136
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,515,532,585,693,831,899,962,1080,1182,1280,1388,1427,1278,1072,912,862,764,680
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,177,193,231,201,184,152,211,237,255,203,214,212,215,203,186,174,128,99
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,64,59,45,19,16,89,133,126,161,307,517,625,633,622,618,630,625,627
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,148,150,144,214,239,273,296,357,361,374,352,371,347,320,312,305,332,417
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,59,55,58,61,76,69,61,54,61,65,53,65,68,69,57,56,49,42
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,540,592,656,784,877,941,908,781,660,537,496,444,441,472,547,598,652,630
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,653,676,708,791,804,775,682,654,732,781,806,744,876,1041,1158,1096,842,599
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,31,31,37,61,71,97,95,100,81,74,68,74,67,50,45,57,96,110
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,292,309,297,388,425,490,480,440,413,420,421,387,315,256,217,259,310,341
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,459,477,489,534,539,557,550,538,528,611,700,738,666,649,639,556,363,247
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,118,171,217,232,199,210,219,269,277,321,357,374,330,299,317,350,314,309
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,45,40,55,66,63,56,61,99,105,92,88,108,114,95,66,63,88,119
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,411,435,527,618,659,682,673,622,479,431,420,472,468,542,577,602,573,577
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,593,638,735,829,875,820,711,604,631,682,741,758,892,1122,1245,1202,838,548
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,157,160,138,112,84,57,72,129,123,88,16,30,81,115,150,136,119,88
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,272,243,156,119,101,147,166,193,170,188,209,296,317,370,346,320,216,136
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,364,404,438,451,486,490,528,626,634,866,1043,1351,1292,1246,1220,1285,1289,1261
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,211,194,157,142,134,146,157,206,278,351,347,316,304,317,312,255,254,341
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,243,219,197,199,168,184,174,253,313,371,362,348,337,341,319,300,328,478
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,208,194,157,142,121,134,144,213,282,339,317,281,259,265,257,210,208,306
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,200,171,139,140,142,149,177,283,373,413,342,296,266,259,255,232,249,329
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,142,142,137,139,145,170,186,226,284,325,303,258,212,206,172,169,177,268
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,102,135,155,160,176,183,195,193,197,196,190,181,195,213,230,205,155,114
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,197,227,241,236,234,224,245,305,318,438,517,676,654,622,592,605,599,602
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,305,307,309,313,291,299,305,327,335,333,321,299,261,240,227,214,213,209
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,404,423,462,421,360,310,320,302,274,244,246,246,211,209,182,189,180,184
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,156,161,147,160,160,177,186,208,200,190,190,211,204,199,198,187,148,87
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,285,295,356,415,435,458,459,437,325,285,258,290,283,352,390,416,381,393
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,162,165,147,160,144,155,178,249,304,330,296,261,248,271,289,284,304,368
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",168,186,184,207,213,247,278,330,347,340,338,342,319,286,255,241,215,197
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",267,294,347,389,428,454,445,388,334,306,323,325,340,356,395,425,461,439
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,110,103,85,75,62,43,65,120,113,79,14,22,52,91,128,120,103,68
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,114,113,99,77,50,50,48,52,49,70,85,149,182,254,239,224,156,96
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,94,97,123,134,146,148,164,152,126,96,97,106,148,187,226,228,167,116
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,137,143,153,179,188,185,146,138,170,195,233,218,253,274,277,257,172,107
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,353,380,401,455,492,511,486,463,437,427,422,411,387,361,347,353,353,397
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,253,206,187,209,188,139,64,39,54,80,86,88,126,170,193,188,176,139
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,257,290,326,392,403,427,387,347,290,251,229,212,204,223,251,276,299,293
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,283,302,330,392,474,514,521,434,370,286,267,232,237,249,296,322,353,337
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,291,254,161,131,127,191,204,242,202,217,238,296,295,286,278,246,157,92
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,129,123,131,145,165,178,165,168,162,198,215,240,252,249,244,230,281,302
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,402,435,453,393,291,213,234,276,311,305,318,307,274,255,250,242,198,165
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,379,342,358,356,317,252,254,295,298,266,264,285,283,260,246,248,214,181
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,358,428,456,507,513,543,540,517,462,408,401,363,363,329,332,338,350,438
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,145,165,197,232,246,247,211,181,162,156,152,157,202,276,325,312,227,150
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,71,62,57,34,15,53,91,88,122,236,393,433,371,313,318,337,325,328
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,137,150,144,152,135,118,115,111,98,91,88,118,130,162,169,147,103,73
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,93,67,54,30,22,61,95,92,220,478,757,859,752,621,475,414,367,322
http://statistics.gov.scot/id/statistical-geography/S16000105,Edinburgh Eastern,100,74,60,28,12,61,129,126,177,302,546,699,727,680,643,645,629,584
http://statistics.gov.scot/id/statistical-geography/S16000106,Edinburgh Northern and Leith,114,88,81,52,28,97,170,163,251,544,925,1113,1025,901,833,830,803,730
http://statistics.gov.scot/id/statistical-geography/S16000107,Edinburgh Pentlands,72,61,56,55,55,84,92,88,128,268,437,529,515,478,439,436,390,384
http://statistics.gov.scot/id/statistical-geography/S16000108,Edinburgh Southern,67,49,38,25,12,53,70,66,117,296,490,605,545,444,350,314,308,270
http://statistics.gov.scot/id/statistical-geography/S16000109,Edinburgh Western,69,57,73,89,102,111,118,125,182,324,457,541,506,491,488,499,476,427
