Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,25.83,25.39,24.86,23.86,22.67,21.68,20.53,19.34,18.69,18.72,19.12,19.01,18.47,17.77,16.78,15.88,14.9,14.4
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,24.21,25.1,26.64,26.47,25.98,23.42,22.86,20.79,19.87,17.48,16.15,15.01,14.59,14.09,13.74,13.96,13.95,13.7
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,19.07,19.73,20.01,19.68,18.27,17.69,17.86,17.26,15.9,14.54,13.6,13.41,13.15,13.03,12.13,11.61,11.1,11.11
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,29.31,28.6,27.78,25.58,23.77,21.96,22.06,23.36,24.65,24.46,24.53,23.35,22.37,20.48,19.81,19.19,18.52,18.02
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,23.15,21.56,17.89,16.74,17.93,20.67,21.5,21,20.63,20.23,19.56,18.81,17.45,17.01,15.27,13.68,11.5,12.36
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,11.1,10.48,13.22,12.51,10.48,10.89,11.85,9.93,7.8,8.68,11.92,13.47,12.71,11.84,11.29,11.24,11.05,10.3
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,33.62,34.99,34.6,32.99,31.1,29.79,28.41,26.11,25.79,25.07,25.98,25.07,23.68,21.58,19.07,16.27,16.68,18.39
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,25.8,26.88,25.07,25.06,25.33,25.68,25.31,24.05,23.74,23.86,23.45,23.1,21.82,22.05,21.17,20.53,18.39,18.35
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,36.89,36.25,35.84,32.79,26.96,22.32,21.5,24.75,25.96,26.49,26.06,25.99,26.03,24.24,23.15,22.9,22.79,21.32
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,31.6,30.45,29.84,29.96,29.35,28.34,27.38,26.59,26.57,26.04,26.11,25.15,24.81,24.19,22.26,20.67,18.97,18.96
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,18.87,18.92,17.62,15.8,14.25,11.09,7.89,6.83,7.98,10.09,11.1,11.87,11.33,10.04,9.27,8.95,8.18,6.45
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,10.12,11.06,15.02,14.56,11.05,11.62,12.85,10.95,10.36,12.88,19.68,20.18,19.74,18.24,17.37,15.53,15.64,15.42
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,14.39,13.53,13.23,12.83,13.66,13.6,13.01,12.46,11.51,11.15,11.09,11.55,11.56,10.39,8.68,6.81,5.3,4.96
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,26.93,27.5,26.56,24.61,23.76,23.21,22.97,21.48,20.13,19.12,18.97,18.18,16.19,15.38,13.52,11.5,10.72,12.87
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,29.57,28.82,28.42,28.16,26.97,26.16,25.03,24.98,24.84,24.56,23.93,23.3,22.72,22.12,21.15,20.47,19.49,18.88
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,33.94,32.17,29.61,27.65,25.59,22.58,18.31,16.05,15.97,17.24,17.98,17.74,17.83,17.31,16.22,14.64,13.18,12.23
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,26.81,27.18,27,25.45,24.75,23.98,24.16,23.17,22.71,21.54,20.41,19.48,19.07,19.13,18.23,17.89,16.99,16.8
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,28.62,27.92,27.87,27.39,27.88,27.37,25.77,23.82,22.95,23.52,24.02,23.22,21.46,19.51,17.7,15.79,13.15,13.36
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,10.19,10.39,14.62,13.52,11.83,13.41,16.1,14.68,12.62,14.32,21.28,23.75,23.14,20.98,19.41,17.87,16.06,14.03
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,25,25.17,24.6,24.45,24.91,25.23,24.02,22.05,22.21,23.09,22.83,20.79,19.25,18.84,18.37,18.01,16.35,15.29
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,17.08,18.37,16.91,17.36,14.52,12.27,8.53,9.7,12.04,15.27,16.24,15.84,14.58,12.41,12.41,12.46,11.2,10.21
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,31.43,31.94,31.84,31.76,30.82,30.14,28.94,28.55,27.9,27.88,27.83,28.05,27.65,26.66,24.79,23.89,22.85,22.19
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,30.22,29.62,27.76,26.44,24.73,23.06,20.32,18.74,18.62,19.06,18.65,18.23,18.09,18.92,18.86,18.43,17.57,17.07
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,14.19,15.57,14.59,15.46,15.15,15.45,16.26,13.83,12.29,11,12.11,12.48,10.65,9.73,10.09,11.24,10.57,8.91
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,22.74,21.94,21.2,20.04,19.66,18.69,18.67,18.98,18.96,18.85,18.79,18.85,17.99,17.28,17.12,18.26,17.85,17.07
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,27.57,27.17,25.96,25.26,24.89,24.69,24.01,22.68,22.24,20.74,20.29,19.22,19.04,18.1,16.14,13.44,11.86,11.67
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,24.84,25.04,24.7,26.05,27.06,26.7,25.29,23.32,23.14,22.79,23.17,21.81,19.86,17.91,17.14,16.73,15.49,14.89
