Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,10.67,10.79,8.9,7.77,8.2,9.6,11.93,13.49,13,9.9,6.93,4.91,4.45,3.65,2.93,2.41,3.09,3.61
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,2.67,3.08,3.05,2.57,1.96,1.39,1.58,1.79,1.28,0.9,0.74,0.89,1.11,0.91,1.05,0.77,0.69,0.32
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,3.47,3.42,5.05,5.79,5.92,3.9,3.19,2.29,1.8,1.35,1.34,1.45,1.39,1.17,1.14,1.06,0.98,0.8
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,1.82,1.37,2.05,7.05,16.6,22.66,21.86,12.26,5.57,0.95,0.83,1.09,1.33,1.36,1.29,0.83,2.88,7.79
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,3.76,8.57,21.81,27.23,24.09,12.39,8.74,8.35,8.91,7.82,6.44,5.81,8.7,11.07,11.1,7.57,6.06,7.69
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,51.03,49.17,25.05,8.65,1.8,2.3,3.63,13.33,25.82,23.87,14.54,1.33,0.96,0.65,0.59,0.48,0.43,0.39
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,1.59,1.36,2.11,3.67,5.03,5.06,6.4,10.86,9.81,6.66,0.68,0.79,1.6,1.7,1.57,0.95,1.97,2.19
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,1.75,1.34,6.79,6.96,7.44,5.47,6.2,7.15,5.11,4.1,2.76,2.03,2.1,2.13,1.8,1.22,1.12,2.1
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,1.06,0.98,1.47,8.43,23.68,35.08,31.74,15.99,6.02,1.31,1.41,1.53,1.83,1.72,1.54,1.28,4.44,13.95
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,0.19,0.31,0.43,0.44,0.43,0.35,0.89,1.25,1.85,3.62,3.91,3.48,1.34,0.77,0.61,0.56,0.49,0.57
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,5.81,4.33,7.04,10.57,18.15,30.47,45.46,50.36,38.6,24.3,16.05,15.4,13.93,9.67,6.57,4.25,6.37,7.39
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,52.69,49.32,21.69,4.58,1.31,1.54,2.81,10.95,19.91,20.58,12.36,2.93,2.45,1.86,1.39,1.13,1.05,0.83
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,1.18,1.45,2.41,3.32,4.1,4.84,7.54,8.12,6.86,4.33,3.38,3.97,3.46,3.35,2.91,2.24,3.57,4.41
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,2.47,2.76,3.52,4.09,4,3.83,5.2,10.56,10.57,9.59,4.02,3.32,2.96,2.48,2.4,1.88,3.67,3.43
